FID,pkey,omraade,lovlige_p_pl_kl_12,optalte_pladser_kl_12,belaegnings_pct_kl_12,lovlige_p_pl_kl_17,optalte_pladser_kl_17,belaegnings_pct_kl_17,lovlige_p_pl_kl_22,optalte_pladser_kl_22,belaegnings_pct_kl_22,mdr_aar,kategori,link,wkb_geometry
parkeringstaelling_i_zoner.149,149,8,513,428,83,512,432,84,513,498,97,20143,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ldv81OrDLX.pdf,"MULTIPOLYGON (((12.58752254801532 55.674421760707496, 12.5873631350849 55.674205812309935, 12.586095029607613 55.67358333411496, 12.58629873978084 55.67347808500411, 12.586212848179372 55.67343095191684, 12.585977522973833 55.673533579446165, 12.585755027023694 55.6734337037085, 12.58556760442865 55.673442730938895, 12.58497220244998 55.67317645365525, 12.585217454045948 55.67304516902066, 12.585119048388098 55.672998401126314, 12.584855022225582 55.67313023450188, 12.584703961278299 55.673056637043935, 12.583948880709327 55.67255388888444, 12.58353228869052 55.672321385043915, 12.57992971906169 55.670047200235864, 12.579833965400223 55.6699657854306, 12.580225135718667 55.66979770776235, 12.5808223992193 55.669467898522605, 12.581463927657285 55.669110979705444, 12.582022560496755 55.66888712124307, 12.58259404103146 55.66879160645859, 12.582775209580195 55.668746297022125, 12.583265630495283 55.66862652346583, 12.583624000396528 55.66856728236309, 12.584244378266517 55.668466112296855, 12.585586373678824 55.668248939623, 12.586105732638105 55.668165212503766, 12.586656884255962 55.66807532985731, 12.587085479974496 55.6680652075977, 12.587446192297808 55.66805877725135, 12.58787953777181 55.66802896193681, 12.588987378557 55.6679543593585, 12.589713663316154 55.66790496326244, 12.590235456092879 55.66798503533822, 12.591080079352423 55.66811714209169, 12.592052105831977 55.66826528062179, 12.592908490032649 55.66839834838259, 12.593923358184831 55.668555760887585, 12.594199981051077 55.66859763809304, 12.595493510936906 55.66867088774503, 12.595466212614554 55.66894572607846, 12.595453301665763 55.669069365262615, 12.595404695006946 55.66929656420455, 12.59538805082014 55.669377284970864, 12.595255809994812 55.669652138155854, 12.595156462725344 55.66983882001297, 12.595015425265412 55.67002869924818, 12.594481643566835 55.67053860182475, 12.59418029079955 55.67078731548012, 12.593780424072586 55.67101297720054, 12.59375432233343 55.671026921485684, 12.59362090400693 55.671096616934626, 12.593508194031626 55.67115422921673, 12.59285383284243 55.67149702225328, 12.591619311960123 55.672136275599776, 12.591274045378286 55.672313099451074, 12.591051457932604 55.672426718764925, 12.590980412555018 55.67246233667714, 12.590379283824639 55.67277091772511, 12.5903254134108 55.67279950400905, 12.590145753491424 55.67289267525989, 12.58971479474327 55.673119930793305, 12.589499617052542 55.67323091443, 12.589260037282706 55.673371359834356, 12.588828464628701 55.67362748533732, 12.588468985997729 55.673830794612265, 12.588438595752248 55.67384967662286, 12.588274618964489 55.67394507540007, 12.587773877723441 55.67423528691025, 12.58752254801532 55.674421760707496)))"
parkeringstaelling_i_zoner.150,150,8,514,426,83,513,423,82,514,490,95,20139,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/VabC10215e.pdf,"MULTIPOLYGON (((12.58752254801532 55.674421760707496, 12.5873631350849 55.674205812309935, 12.586095029607613 55.67358333411496, 12.58629873978084 55.67347808500411, 12.586212848179372 55.67343095191684, 12.585977522973833 55.673533579446165, 12.585755027023694 55.6734337037085, 12.58556760442865 55.673442730938895, 12.58497220244998 55.67317645365525, 12.585217454045948 55.67304516902066, 12.585119048388098 55.672998401126314, 12.584855022225582 55.67313023450188, 12.584703961278299 55.673056637043935, 12.583948880709327 55.67255388888444, 12.58353228869052 55.672321385043915, 12.57992971906169 55.670047200235864, 12.579833965400223 55.6699657854306, 12.580225135718667 55.66979770776235, 12.5808223992193 55.669467898522605, 12.581463927657285 55.669110979705444, 12.582022560496755 55.66888712124307, 12.58259404103146 55.66879160645859, 12.582775209580195 55.668746297022125, 12.583265630495283 55.66862652346583, 12.583624000396528 55.66856728236309, 12.584244378266517 55.668466112296855, 12.585586373678824 55.668248939623, 12.586105732638105 55.668165212503766, 12.586656884255962 55.66807532985731, 12.587085479974496 55.6680652075977, 12.587446192297808 55.66805877725135, 12.58787953777181 55.66802896193681, 12.588987378557 55.6679543593585, 12.589713663316154 55.66790496326244, 12.590235456092879 55.66798503533822, 12.591080079352423 55.66811714209169, 12.592052105831977 55.66826528062179, 12.592908490032649 55.66839834838259, 12.593923358184831 55.668555760887585, 12.594199981051077 55.66859763809304, 12.595493510936906 55.66867088774503, 12.595466212614554 55.66894572607846, 12.595453301665763 55.669069365262615, 12.595404695006946 55.66929656420455, 12.59538805082014 55.669377284970864, 12.595255809994812 55.669652138155854, 12.595156462725344 55.66983882001297, 12.595015425265412 55.67002869924818, 12.594481643566835 55.67053860182475, 12.59418029079955 55.67078731548012, 12.593780424072586 55.67101297720054, 12.59375432233343 55.671026921485684, 12.59362090400693 55.671096616934626, 12.593508194031626 55.67115422921673, 12.59285383284243 55.67149702225328, 12.591619311960123 55.672136275599776, 12.591274045378286 55.672313099451074, 12.591051457932604 55.672426718764925, 12.590980412555018 55.67246233667714, 12.590379283824639 55.67277091772511, 12.5903254134108 55.67279950400905, 12.590145753491424 55.67289267525989, 12.58971479474327 55.673119930793305, 12.589499617052542 55.67323091443, 12.589260037282706 55.673371359834356, 12.588828464628701 55.67362748533732, 12.588468985997729 55.673830794612265, 12.588438595752248 55.67384967662286, 12.588274618964489 55.67394507540007, 12.587773877723441 55.67423528691025, 12.58752254801532 55.674421760707496)))"
parkeringstaelling_i_zoner.151,151,8,512,382,74.61000061,511,404,79.05999756,512,460,89.83999634,20133,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/J6ZLoQYBA1.pdf,"MULTIPOLYGON (((12.58752254801532 55.674421760707496, 12.5873631350849 55.674205812309935, 12.586095029607613 55.67358333411496, 12.58629873978084 55.67347808500411, 12.586212848179372 55.67343095191684, 12.585977522973833 55.673533579446165, 12.585755027023694 55.6734337037085, 12.58556760442865 55.673442730938895, 12.58497220244998 55.67317645365525, 12.585217454045948 55.67304516902066, 12.585119048388098 55.672998401126314, 12.584855022225582 55.67313023450188, 12.584703961278299 55.673056637043935, 12.583948880709327 55.67255388888444, 12.58353228869052 55.672321385043915, 12.57992971906169 55.670047200235864, 12.579833965400223 55.6699657854306, 12.580225135718667 55.66979770776235, 12.5808223992193 55.669467898522605, 12.581463927657285 55.669110979705444, 12.582022560496755 55.66888712124307, 12.58259404103146 55.66879160645859, 12.582775209580195 55.668746297022125, 12.583265630495283 55.66862652346583, 12.583624000396528 55.66856728236309, 12.584244378266517 55.668466112296855, 12.585586373678824 55.668248939623, 12.586105732638105 55.668165212503766, 12.586656884255962 55.66807532985731, 12.587085479974496 55.6680652075977, 12.587446192297808 55.66805877725135, 12.58787953777181 55.66802896193681, 12.588987378557 55.6679543593585, 12.589713663316154 55.66790496326244, 12.590235456092879 55.66798503533822, 12.591080079352423 55.66811714209169, 12.592052105831977 55.66826528062179, 12.592908490032649 55.66839834838259, 12.593923358184831 55.668555760887585, 12.594199981051077 55.66859763809304, 12.595493510936906 55.66867088774503, 12.595466212614554 55.66894572607846, 12.595453301665763 55.669069365262615, 12.595404695006946 55.66929656420455, 12.59538805082014 55.669377284970864, 12.595255809994812 55.669652138155854, 12.595156462725344 55.66983882001297, 12.595015425265412 55.67002869924818, 12.594481643566835 55.67053860182475, 12.59418029079955 55.67078731548012, 12.593780424072586 55.67101297720054, 12.59375432233343 55.671026921485684, 12.59362090400693 55.671096616934626, 12.593508194031626 55.67115422921673, 12.59285383284243 55.67149702225328, 12.591619311960123 55.672136275599776, 12.591274045378286 55.672313099451074, 12.591051457932604 55.672426718764925, 12.590980412555018 55.67246233667714, 12.590379283824639 55.67277091772511, 12.5903254134108 55.67279950400905, 12.590145753491424 55.67289267525989, 12.58971479474327 55.673119930793305, 12.589499617052542 55.67323091443, 12.589260037282706 55.673371359834356, 12.588828464628701 55.67362748533732, 12.588468985997729 55.673830794612265, 12.588438595752248 55.67384967662286, 12.588274618964489 55.67394507540007, 12.587773877723441 55.67423528691025, 12.58752254801532 55.674421760707496)))"
parkeringstaelling_i_zoner.152,152,8,516,360,69.76999664,515,383,74.37000275,516,420,81.40000153,20129,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/BRFrMHeA6n.pdf,"MULTIPOLYGON (((12.58752254801532 55.674421760707496, 12.5873631350849 55.674205812309935, 12.586095029607613 55.67358333411496, 12.58629873978084 55.67347808500411, 12.586212848179372 55.67343095191684, 12.585977522973833 55.673533579446165, 12.585755027023694 55.6734337037085, 12.58556760442865 55.673442730938895, 12.58497220244998 55.67317645365525, 12.585217454045948 55.67304516902066, 12.585119048388098 55.672998401126314, 12.584855022225582 55.67313023450188, 12.584703961278299 55.673056637043935, 12.583948880709327 55.67255388888444, 12.58353228869052 55.672321385043915, 12.57992971906169 55.670047200235864, 12.579833965400223 55.6699657854306, 12.580225135718667 55.66979770776235, 12.5808223992193 55.669467898522605, 12.581463927657285 55.669110979705444, 12.582022560496755 55.66888712124307, 12.58259404103146 55.66879160645859, 12.582775209580195 55.668746297022125, 12.583265630495283 55.66862652346583, 12.583624000396528 55.66856728236309, 12.584244378266517 55.668466112296855, 12.585586373678824 55.668248939623, 12.586105732638105 55.668165212503766, 12.586656884255962 55.66807532985731, 12.587085479974496 55.6680652075977, 12.587446192297808 55.66805877725135, 12.58787953777181 55.66802896193681, 12.588987378557 55.6679543593585, 12.589713663316154 55.66790496326244, 12.590235456092879 55.66798503533822, 12.591080079352423 55.66811714209169, 12.592052105831977 55.66826528062179, 12.592908490032649 55.66839834838259, 12.593923358184831 55.668555760887585, 12.594199981051077 55.66859763809304, 12.595493510936906 55.66867088774503, 12.595466212614554 55.66894572607846, 12.595453301665763 55.669069365262615, 12.595404695006946 55.66929656420455, 12.59538805082014 55.669377284970864, 12.595255809994812 55.669652138155854, 12.595156462725344 55.66983882001297, 12.595015425265412 55.67002869924818, 12.594481643566835 55.67053860182475, 12.59418029079955 55.67078731548012, 12.593780424072586 55.67101297720054, 12.59375432233343 55.671026921485684, 12.59362090400693 55.671096616934626, 12.593508194031626 55.67115422921673, 12.59285383284243 55.67149702225328, 12.591619311960123 55.672136275599776, 12.591274045378286 55.672313099451074, 12.591051457932604 55.672426718764925, 12.590980412555018 55.67246233667714, 12.590379283824639 55.67277091772511, 12.5903254134108 55.67279950400905, 12.590145753491424 55.67289267525989, 12.58971479474327 55.673119930793305, 12.589499617052542 55.67323091443, 12.589260037282706 55.673371359834356, 12.588828464628701 55.67362748533732, 12.588468985997729 55.673830794612265, 12.588438595752248 55.67384967662286, 12.588274618964489 55.67394507540007, 12.587773877723441 55.67423528691025, 12.58752254801532 55.674421760707496)))"
parkeringstaelling_i_zoner.153,153,8,516,373,72.29000092,515,375,72.81999969,516,390,75.58000183,20123,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/B0Y0RsjQHd.pdf,"MULTIPOLYGON (((12.58752254801532 55.674421760707496, 12.5873631350849 55.674205812309935, 12.586095029607613 55.67358333411496, 12.58629873978084 55.67347808500411, 12.586212848179372 55.67343095191684, 12.585977522973833 55.673533579446165, 12.585755027023694 55.6734337037085, 12.58556760442865 55.673442730938895, 12.58497220244998 55.67317645365525, 12.585217454045948 55.67304516902066, 12.585119048388098 55.672998401126314, 12.584855022225582 55.67313023450188, 12.584703961278299 55.673056637043935, 12.583948880709327 55.67255388888444, 12.58353228869052 55.672321385043915, 12.57992971906169 55.670047200235864, 12.579833965400223 55.6699657854306, 12.580225135718667 55.66979770776235, 12.5808223992193 55.669467898522605, 12.581463927657285 55.669110979705444, 12.582022560496755 55.66888712124307, 12.58259404103146 55.66879160645859, 12.582775209580195 55.668746297022125, 12.583265630495283 55.66862652346583, 12.583624000396528 55.66856728236309, 12.584244378266517 55.668466112296855, 12.585586373678824 55.668248939623, 12.586105732638105 55.668165212503766, 12.586656884255962 55.66807532985731, 12.587085479974496 55.6680652075977, 12.587446192297808 55.66805877725135, 12.58787953777181 55.66802896193681, 12.588987378557 55.6679543593585, 12.589713663316154 55.66790496326244, 12.590235456092879 55.66798503533822, 12.591080079352423 55.66811714209169, 12.592052105831977 55.66826528062179, 12.592908490032649 55.66839834838259, 12.593923358184831 55.668555760887585, 12.594199981051077 55.66859763809304, 12.595493510936906 55.66867088774503, 12.595466212614554 55.66894572607846, 12.595453301665763 55.669069365262615, 12.595404695006946 55.66929656420455, 12.59538805082014 55.669377284970864, 12.595255809994812 55.669652138155854, 12.595156462725344 55.66983882001297, 12.595015425265412 55.67002869924818, 12.594481643566835 55.67053860182475, 12.59418029079955 55.67078731548012, 12.593780424072586 55.67101297720054, 12.59375432233343 55.671026921485684, 12.59362090400693 55.671096616934626, 12.593508194031626 55.67115422921673, 12.59285383284243 55.67149702225328, 12.591619311960123 55.672136275599776, 12.591274045378286 55.672313099451074, 12.591051457932604 55.672426718764925, 12.590980412555018 55.67246233667714, 12.590379283824639 55.67277091772511, 12.5903254134108 55.67279950400905, 12.590145753491424 55.67289267525989, 12.58971479474327 55.673119930793305, 12.589499617052542 55.67323091443, 12.589260037282706 55.673371359834356, 12.588828464628701 55.67362748533732, 12.588468985997729 55.673830794612265, 12.588438595752248 55.67384967662286, 12.588274618964489 55.67394507540007, 12.587773877723441 55.67423528691025, 12.58752254801532 55.674421760707496)))"
parkeringstaelling_i_zoner.154,154,9,672,710,106,672,744,111,677,787,116,20219,,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Qdj5nn3rzz.pdf,"MULTIPOLYGON (((12.574076932219715 55.692567058040325, 12.571915363293822 55.691345576875854, 12.570781103614264 55.69159177400837, 12.56981884593875 55.69205226541985, 12.569541253160605 55.691882711505535, 12.569263662788478 55.691713156951884, 12.570565756435382 55.690953186253815, 12.570791076305776 55.69058809361721, 12.57037341181387 55.69027411177517, 12.569955633132674 55.68992486249135, 12.568618796980589 55.68907458385471, 12.565466975242915 55.68669374972077, 12.565079189498414 55.68605227310238, 12.56841980862994 55.684754567734565, 12.571495823252226 55.68351773780161, 12.571674519869008 55.68362865337673, 12.573214229472367 55.684682302262544, 12.573666320019257 55.684991660606755, 12.574418334919718 55.685506237581635, 12.574418334919718 55.685506237581635, 12.575365358721722 55.686154225865344, 12.577657657227672 55.68741671483021, 12.577657657227672 55.68741671483021, 12.575006334257123 55.68862700688746, 12.574711697634218 55.68876188175141, 12.574216722581152 55.688994646665975, 12.575229088054215 55.69014297904056, 12.575729344031858 55.690701902735384, 12.576356331898118 55.69054239085981, 12.576911143000927 55.69056134577335, 12.576819802564204 55.690866438913346, 12.576079854436252 55.69110380678823, 12.576455623934528 55.6915265378606, 12.574076932219715 55.692567058040325)))"
parkeringstaelling_i_zoner.155,155,9,668,704,105,668,732,110,677,764,113,20213,,https://kk.sites.itera.dk/apps/kk_trafik/pdf/8OvLlC4umg.pdf,"MULTIPOLYGON (((12.574076932219715 55.692567058040325, 12.571915363293822 55.691345576875854, 12.570781103614264 55.69159177400837, 12.56981884593875 55.69205226541985, 12.569541253160605 55.691882711505535, 12.569263662788478 55.691713156951884, 12.570565756435382 55.690953186253815, 12.570791076305776 55.69058809361721, 12.57037341181387 55.69027411177517, 12.569955633132674 55.68992486249135, 12.568618796980589 55.68907458385471, 12.565466975242915 55.68669374972077, 12.565079189498414 55.68605227310238, 12.56841980862994 55.684754567734565, 12.571495823252226 55.68351773780161, 12.571674519869008 55.68362865337673, 12.573214229472367 55.684682302262544, 12.573666320019257 55.684991660606755, 12.574418334919718 55.685506237581635, 12.574418334919718 55.685506237581635, 12.575365358721722 55.686154225865344, 12.577657657227672 55.68741671483021, 12.577657657227672 55.68741671483021, 12.575006334257123 55.68862700688746, 12.574711697634218 55.68876188175141, 12.574216722581152 55.688994646665975, 12.575229088054215 55.69014297904056, 12.575729344031858 55.690701902735384, 12.576356331898118 55.69054239085981, 12.576911143000927 55.69056134577335, 12.576819802564204 55.690866438913346, 12.576079854436252 55.69110380678823, 12.576455623934528 55.6915265378606, 12.574076932219715 55.692567058040325)))"
parkeringstaelling_i_zoner.156,156,9,662,716,108,662,735,111,671,759,113,20209,,https://kk.sites.itera.dk/apps/kk_trafik/pdf/bwoGnDZx6o.pdf,"MULTIPOLYGON (((12.574076932219715 55.692567058040325, 12.571915363293822 55.691345576875854, 12.570781103614264 55.69159177400837, 12.56981884593875 55.69205226541985, 12.569541253160605 55.691882711505535, 12.569263662788478 55.691713156951884, 12.570565756435382 55.690953186253815, 12.570791076305776 55.69058809361721, 12.57037341181387 55.69027411177517, 12.569955633132674 55.68992486249135, 12.568618796980589 55.68907458385471, 12.565466975242915 55.68669374972077, 12.565079189498414 55.68605227310238, 12.56841980862994 55.684754567734565, 12.571495823252226 55.68351773780161, 12.571674519869008 55.68362865337673, 12.573214229472367 55.684682302262544, 12.573666320019257 55.684991660606755, 12.574418334919718 55.685506237581635, 12.574418334919718 55.685506237581635, 12.575365358721722 55.686154225865344, 12.577657657227672 55.68741671483021, 12.577657657227672 55.68741671483021, 12.575006334257123 55.68862700688746, 12.574711697634218 55.68876188175141, 12.574216722581152 55.688994646665975, 12.575229088054215 55.69014297904056, 12.575729344031858 55.690701902735384, 12.576356331898118 55.69054239085981, 12.576911143000927 55.69056134577335, 12.576819802564204 55.690866438913346, 12.576079854436252 55.69110380678823, 12.576455623934528 55.6915265378606, 12.574076932219715 55.692567058040325)))"
parkeringstaelling_i_zoner.157,157,9,688,715,104,688,778,113,692,829,120,20199,,https://kk.sites.itera.dk/apps/kk_trafik/pdf/9ZrsBuVYM2.pdf,"MULTIPOLYGON (((12.574076932219715 55.692567058040325, 12.571915363293822 55.691345576875854, 12.570781103614264 55.69159177400837, 12.56981884593875 55.69205226541985, 12.569541253160605 55.691882711505535, 12.569263662788478 55.691713156951884, 12.570565756435382 55.690953186253815, 12.570791076305776 55.69058809361721, 12.57037341181387 55.69027411177517, 12.569955633132674 55.68992486249135, 12.568618796980589 55.68907458385471, 12.565466975242915 55.68669374972077, 12.565079189498414 55.68605227310238, 12.56841980862994 55.684754567734565, 12.571495823252226 55.68351773780161, 12.571674519869008 55.68362865337673, 12.573214229472367 55.684682302262544, 12.573666320019257 55.684991660606755, 12.574418334919718 55.685506237581635, 12.574418334919718 55.685506237581635, 12.575365358721722 55.686154225865344, 12.577657657227672 55.68741671483021, 12.577657657227672 55.68741671483021, 12.575006334257123 55.68862700688746, 12.574711697634218 55.68876188175141, 12.574216722581152 55.688994646665975, 12.575229088054215 55.69014297904056, 12.575729344031858 55.690701902735384, 12.576356331898118 55.69054239085981, 12.576911143000927 55.69056134577335, 12.576819802564204 55.690866438913346, 12.576079854436252 55.69110380678823, 12.576455623934528 55.6915265378606, 12.574076932219715 55.692567058040325)))"
parkeringstaelling_i_zoner.158,158,9,673,697,104,673,794,118,677,808,119,20193,,https://kk.sites.itera.dk/apps/kk_trafik/pdf/mgFzZ0KUEj.pdf,"MULTIPOLYGON (((12.574076932219715 55.692567058040325, 12.571915363293822 55.691345576875854, 12.570781103614264 55.69159177400837, 12.56981884593875 55.69205226541985, 12.569541253160605 55.691882711505535, 12.569263662788478 55.691713156951884, 12.570565756435382 55.690953186253815, 12.570791076305776 55.69058809361721, 12.57037341181387 55.69027411177517, 12.569955633132674 55.68992486249135, 12.568618796980589 55.68907458385471, 12.565466975242915 55.68669374972077, 12.565079189498414 55.68605227310238, 12.56841980862994 55.684754567734565, 12.571495823252226 55.68351773780161, 12.571674519869008 55.68362865337673, 12.573214229472367 55.684682302262544, 12.573666320019257 55.684991660606755, 12.574418334919718 55.685506237581635, 12.574418334919718 55.685506237581635, 12.575365358721722 55.686154225865344, 12.577657657227672 55.68741671483021, 12.577657657227672 55.68741671483021, 12.575006334257123 55.68862700688746, 12.574711697634218 55.68876188175141, 12.574216722581152 55.688994646665975, 12.575229088054215 55.69014297904056, 12.575729344031858 55.690701902735384, 12.576356331898118 55.69054239085981, 12.576911143000927 55.69056134577335, 12.576819802564204 55.690866438913346, 12.576079854436252 55.69110380678823, 12.576455623934528 55.6915265378606, 12.574076932219715 55.692567058040325)))"
parkeringstaelling_i_zoner.161,161,9,682,657,96,682,759,111,686,744,108,20179,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/QzA9ib1dWM.pdf,"MULTIPOLYGON (((12.574076932219715 55.692567058040325, 12.571915363293822 55.691345576875854, 12.570781103614264 55.69159177400837, 12.56981884593875 55.69205226541985, 12.569541253160605 55.691882711505535, 12.569263662788478 55.691713156951884, 12.570565756435382 55.690953186253815, 12.570791076305776 55.69058809361721, 12.57037341181387 55.69027411177517, 12.569955633132674 55.68992486249135, 12.568618796980589 55.68907458385471, 12.565466975242915 55.68669374972077, 12.565079189498414 55.68605227310238, 12.56841980862994 55.684754567734565, 12.571495823252226 55.68351773780161, 12.571674519869008 55.68362865337673, 12.573214229472367 55.684682302262544, 12.573666320019257 55.684991660606755, 12.574418334919718 55.685506237581635, 12.574418334919718 55.685506237581635, 12.575365358721722 55.686154225865344, 12.577657657227672 55.68741671483021, 12.577657657227672 55.68741671483021, 12.575006334257123 55.68862700688746, 12.574711697634218 55.68876188175141, 12.574216722581152 55.688994646665975, 12.575229088054215 55.69014297904056, 12.575729344031858 55.690701902735384, 12.576356331898118 55.69054239085981, 12.576911143000927 55.69056134577335, 12.576819802564204 55.690866438913346, 12.576079854436252 55.69110380678823, 12.576455623934528 55.6915265378606, 12.574076932219715 55.692567058040325)))"
parkeringstaelling_i_zoner.162,162,9,681,679,100,681,761,112,685,787,115,20173,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/X85qXfMZay.pdf,"MULTIPOLYGON (((12.574076932219715 55.692567058040325, 12.571915363293822 55.691345576875854, 12.570781103614264 55.69159177400837, 12.56981884593875 55.69205226541985, 12.569541253160605 55.691882711505535, 12.569263662788478 55.691713156951884, 12.570565756435382 55.690953186253815, 12.570791076305776 55.69058809361721, 12.57037341181387 55.69027411177517, 12.569955633132674 55.68992486249135, 12.568618796980589 55.68907458385471, 12.565466975242915 55.68669374972077, 12.565079189498414 55.68605227310238, 12.56841980862994 55.684754567734565, 12.571495823252226 55.68351773780161, 12.571674519869008 55.68362865337673, 12.573214229472367 55.684682302262544, 12.573666320019257 55.684991660606755, 12.574418334919718 55.685506237581635, 12.574418334919718 55.685506237581635, 12.575365358721722 55.686154225865344, 12.577657657227672 55.68741671483021, 12.577657657227672 55.68741671483021, 12.575006334257123 55.68862700688746, 12.574711697634218 55.68876188175141, 12.574216722581152 55.688994646665975, 12.575229088054215 55.69014297904056, 12.575729344031858 55.690701902735384, 12.576356331898118 55.69054239085981, 12.576911143000927 55.69056134577335, 12.576819802564204 55.690866438913346, 12.576079854436252 55.69110380678823, 12.576455623934528 55.6915265378606, 12.574076932219715 55.692567058040325)))"
parkeringstaelling_i_zoner.163,163,9,703,717,102,689,750,109,698,808,116,20169,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/dqDkHkmlfC.pdf,"MULTIPOLYGON (((12.574076932219715 55.692567058040325, 12.571915363293822 55.691345576875854, 12.570781103614264 55.69159177400837, 12.56981884593875 55.69205226541985, 12.569541253160605 55.691882711505535, 12.569263662788478 55.691713156951884, 12.570565756435382 55.690953186253815, 12.570791076305776 55.69058809361721, 12.57037341181387 55.69027411177517, 12.569955633132674 55.68992486249135, 12.568618796980589 55.68907458385471, 12.565466975242915 55.68669374972077, 12.565079189498414 55.68605227310238, 12.56841980862994 55.684754567734565, 12.571495823252226 55.68351773780161, 12.571674519869008 55.68362865337673, 12.573214229472367 55.684682302262544, 12.573666320019257 55.684991660606755, 12.574418334919718 55.685506237581635, 12.574418334919718 55.685506237581635, 12.575365358721722 55.686154225865344, 12.577657657227672 55.68741671483021, 12.577657657227672 55.68741671483021, 12.575006334257123 55.68862700688746, 12.574711697634218 55.68876188175141, 12.574216722581152 55.688994646665975, 12.575229088054215 55.69014297904056, 12.575729344031858 55.690701902735384, 12.576356331898118 55.69054239085981, 12.576911143000927 55.69056134577335, 12.576819802564204 55.690866438913346, 12.576079854436252 55.69110380678823, 12.576455623934528 55.6915265378606, 12.574076932219715 55.692567058040325)))"
parkeringstaelling_i_zoner.164,164,9,714,714,100,686,774,113,729,839,115,20163,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/oaxHnhyOn0.pdf,"MULTIPOLYGON (((12.574076932219715 55.692567058040325, 12.571915363293822 55.691345576875854, 12.570781103614264 55.69159177400837, 12.56981884593875 55.69205226541985, 12.569541253160605 55.691882711505535, 12.569263662788478 55.691713156951884, 12.570565756435382 55.690953186253815, 12.570791076305776 55.69058809361721, 12.57037341181387 55.69027411177517, 12.569955633132674 55.68992486249135, 12.568618796980589 55.68907458385471, 12.565466975242915 55.68669374972077, 12.565079189498414 55.68605227310238, 12.56841980862994 55.684754567734565, 12.571495823252226 55.68351773780161, 12.571674519869008 55.68362865337673, 12.573214229472367 55.684682302262544, 12.573666320019257 55.684991660606755, 12.574418334919718 55.685506237581635, 12.574418334919718 55.685506237581635, 12.575365358721722 55.686154225865344, 12.577657657227672 55.68741671483021, 12.577657657227672 55.68741671483021, 12.575006334257123 55.68862700688746, 12.574711697634218 55.68876188175141, 12.574216722581152 55.688994646665975, 12.575229088054215 55.69014297904056, 12.575729344031858 55.690701902735384, 12.576356331898118 55.69054239085981, 12.576911143000927 55.69056134577335, 12.576819802564204 55.690866438913346, 12.576079854436252 55.69110380678823, 12.576455623934528 55.6915265378606, 12.574076932219715 55.692567058040325)))"
parkeringstaelling_i_zoner.165,165,9,722,672,93,694,746,107,727,804,111,20159,,http://kk.sites.itera.dk/apps/kk_trafik/pdf/5V1GNG7O4u.pdf,"MULTIPOLYGON (((12.574076932219715 55.692567058040325, 12.571915363293822 55.691345576875854, 12.570781103614264 55.69159177400837, 12.56981884593875 55.69205226541985, 12.569541253160605 55.691882711505535, 12.569263662788478 55.691713156951884, 12.570565756435382 55.690953186253815, 12.570791076305776 55.69058809361721, 12.57037341181387 55.69027411177517, 12.569955633132674 55.68992486249135, 12.568618796980589 55.68907458385471, 12.565466975242915 55.68669374972077, 12.565079189498414 55.68605227310238, 12.56841980862994 55.684754567734565, 12.571495823252226 55.68351773780161, 12.571674519869008 55.68362865337673, 12.573214229472367 55.684682302262544, 12.573666320019257 55.684991660606755, 12.574418334919718 55.685506237581635, 12.574418334919718 55.685506237581635, 12.575365358721722 55.686154225865344, 12.577657657227672 55.68741671483021, 12.577657657227672 55.68741671483021, 12.575006334257123 55.68862700688746, 12.574711697634218 55.68876188175141, 12.574216722581152 55.688994646665975, 12.575229088054215 55.69014297904056, 12.575729344031858 55.690701902735384, 12.576356331898118 55.69054239085981, 12.576911143000927 55.69056134577335, 12.576819802564204 55.690866438913346, 12.576079854436252 55.69110380678823, 12.576455623934528 55.6915265378606, 12.574076932219715 55.692567058040325)))"
